"display_name","description","date_deadline","planned_date_begin","planned_date_start","allocated_hours","sequence","project_id/Database ID","user_ids/Database ID"
"Crea directo en YouTube Odoo + AI CRM","Crear contenido en vivo en YouTube sobre integración de Odoo con AI CRM.","2025-05-12 12:00","2025-05-12 09:00","2025-05-12 09:00",3,1,12,2
"Preparar reporte mensual comisiones","Crear el reporte de las comisiones del mes, incluyendo análisis de ventas.","2025-05-12 18:00","2025-05-12 14:00","2025-05-12 14:00",4,2,12,2
"Entrenamiento implementación cliente","Sesión de entrenamiento sobre la implementación de Odoo para cliente (2-4 h).","2025-05-14 14:00","2025-05-14 10:00","2025-05-14 10:00",4,3,12,2
"Revisar KPIs","Revisión de los KPIs de ventas, rendimiento y desempeño del equipo.","2025-05-13 11:00","2025-05-13 09:00","2025-05-13 09:00",2,4,12,2
"Agendar demo Odoo 18 cliente potencial","Agendar y coordinar demo del producto Odoo 18 con cliente potencial.","2025-05-13 13:00","2025-05-13 12:00","2025-05-13 12:00",1,5,12,2
"Revisar CRM, contestar leads","Revisión del CRM, responder leads y gestionar oportunidades de ventas.","2025-05-12 18:00","2025-05-12 16:00","2025-05-12 16:00",2,6,12,2
"Crear video para curso CRM Ventas","Desarrollar contenido de video educativo para el curso de CRM Ventas.","2025-05-15 11:00","2025-05-14 16:00","2025-05-14 16:00",3,7,12,2
"Visita cliente Madrid","Visita a cliente en Madrid, para seguimiento de ventas y proyectos en curso.","2025-05-15 19:00","2025-05-15 17:00","2025-05-15 17:00",2,8,12,2
"Editar y publicar video en RRSS","Edición y publicación del video en redes sociales.","2025-05-16 12:00","2025-05-16 10:00","2025-05-16 10:00",2,9,12,2
"Subir tickets gastos","Subir los tickets de gastos al sistema para su gestión y seguimiento.","2025-05-12 19:00","2025-05-12 18:00","2025-05-12 18:00",1,10,12,2
